date,AABA,AAPL,ADBE,ADP,AMGN,AMOV,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,CELG,CHTR,CMCSA,CME,COST,CSCO,CSX,CTSH,ESRX,FB,FOX,FOXA,GILD,GOOG,GOOGL,ILMN,INTC,INTU,ISRG,KHC,MAR,MDLZ,MSFT,MU,NFLX,NVDA,PEP,PYPL,QCOM,QQQ,REGN,SBUX,TMUS,TSLA,TXN,VRTX,WBA,WDAY
2017-08-16,0,12,0,2,0,3,23,0,0,4,0,0,0,0,0,14,2,14,0,0,0,12,13,13,0,12,12,2,33,0,0,1,41,2,5,19,3,0,0,0,1,0,0,0,0,4,0,0,3,0
2017-08-17,0,23,0,5,1,0,8,0,0,0,4,0,0,0,0,1,3,17,3,0,0,20,14,11,1,21,21,0,32,1,0,1,40,0,1,13,4,0,1,0,1,0,0,1,0,5,0,0,0,2
2017-08-18,0,11,0,0,0,3,4,1,0,4,1,0,0,1,3,1,0,22,0,0,0,20,6,6,0,11,11,0,36,0,0,3,30,0,2,8,0,0,0,0,1,0,0,0,1,3,0,0,0,0
2017-08-19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-20,0,3,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,4,2,2,0,4,4,0,5,0,0,4,2,0,3,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0
2017-08-21,0,9,0,3,1,0,5,0,0,6,0,0,0,0,0,1,0,10,0,0,0,11,11,11,0,5,5,0,18,0,0,1,32,1,0,19,2,0,3,0,1,0,0,1,0,3,0,0,0,0
2017-08-22,0,3,3,0,0,1,13,0,0,2,0,0,0,0,0,2,0,7,1,0,2,9,9,9,0,5,5,0,21,2,0,1,29,1,5,14,0,0,3,0,1,1,0,0,3,3,0,0,1,0
2017-08-23,0,6,0,0,1,2,15,1,3,1,0,0,0,0,0,3,1,20,0,0,0,15,5,5,0,19,19,0,34,3,0,5,38,2,1,13,2,0,1,0,1,0,0,0,2,4,0,0,0,0
2017-08-24,0,20,0,3,1,0,13,0,2,9,1,0,1,0,1,2,7,14,0,0,0,10,9,9,0,8,8,2,23,0,0,3,40,0,3,22,2,0,0,0,5,1,0,0,3,5,0,1,0,0
2017-08-25,0,6,1,0,3,0,23,0,5,3,3,0,0,0,0,12,1,8,0,0,0,28,4,4,0,2,2,2,26,0,0,0,32,0,2,17,2,0,1,0,1,0,0,0,1,5,0,0,0,0
2017-08-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2017-08-27,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,3,3,0,0,0,0,10,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
